0	130276	2658
1	120002	5000
2	87083	5558
3	91198	7930
4	92209	10245
5	91950	12538
6	78851	12836
7	68930	13129
8	71171	15622
9	66987	16746
10	63404	17883
11	63958	20197
12	63726	22390
13	63432	24668
14	62707	26874
15	61918	29137
16	61062	31456
17	60065	33786
18	58925	36115
19	57070	38046
20	55593	40257
21	53702	42194
22	52147	44422
23	50549	46661
24	48929	48929
25	45455	49243
26	43830	51452
27	42196	53705
28	40589	56051
29	39022	58533
30	37273	60814
31	35332	62812
32	33512	65054
33	31778	67529
34	29960	69908
35	28089	72228
36	26069	74198
37	24151	76479
38	22226	78801
39	20262	81051
40	18305	83391
41	16406	86136
42	14468	88875
43	12430	91159
44	10384	93456
45	8327	95764
46	6261	98095
47	4185	100440
48	2096	102742
49	0	103914
